Date : 2024-05-14 14:10:03
Directory : c:\Users\rudom.PENETRATOR\OneDrive\Documents\html\work\sport-live
Total : 67 files,  4499 codes, 27 comments, 260 blanks, all 4786 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| JSON       |          2 |      2,850 |          0 |          2 |      2,852 |
| JavaScript |         49 |      1,483 |         27 |        248 |      1,758 |
| HTML       |         10 |        108 |          0 |          5 |        113 |
| CSS        |          3 |         37 |          0 |          1 |         38 |
| TypeScript |          2 |         11 |          0 |          3 |         14 |
| Properties |          1 |         10 |          0 |          1 |         11 |
+------------+------------+------------+------------+------------+------------+

Directories
+----------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                           | files      | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                              |         67 |      4,499 |         27 |        260 |      4,786 |
| client                                                                                                         |         29 |        886 |          0 |        117 |      1,003 |
| client\public                                                                                                  |          1 |         12 |          0 |          1 |         13 |
| client\src                                                                                                     |         28 |        874 |          0 |        116 |        990 |
| client\src (Files)                                                                                             |          3 |         71 |          0 |          7 |         78 |
| client\src\components                                                                                          |         10 |        400 |          0 |         45 |        445 |
| client\src\components (Files)                                                                                  |          7 |        182 |          0 |         28 |        210 |
| client\src\components\modals                                                                                   |          3 |        218 |          0 |         17 |        235 |
| client\src\http                                                                                                |          3 |         65 |          0 |         18 |         83 |
| client\src\models                                                                                              |          2 |         11 |          0 |          3 |         14 |
| client\src\models (Files)                                                                                      |          1 |          5 |          0 |          1 |          6 |
| client\src\models\response                                                                                     |          1 |          6 |          0 |          2 |          8 |
| client\src\pages                                                                                               |          5 |        217 |          0 |         24 |        241 |
| client\src\services                                                                                            |          2 |         23 |          0 |          9 |         32 |
| client\src\store                                                                                               |          2 |         81 |          0 |          9 |         90 |
| client\src\utils                                                                                               |          1 |          6 |          0 |          1 |          7 |
| server                                                                                                         |         24 |      3,280 |          0 |         98 |      3,378 |
| server (Files)                                                                                                 |          4 |      2,908 |          0 |         12 |      2,920 |
| server\controllers                                                                                             |          1 |         67 |          0 |          9 |         76 |
| server\dtos                                                                                                    |          1 |         10 |          0 |          2 |         12 |
| server\exceptions                                                                                              |          1 |         15 |          0 |          4 |         19 |
| server\middlewares                                                                                             |          2 |         28 |          0 |          9 |         37 |
| server\models                                                                                                  |         11 |         90 |          0 |         33 |        123 |
| server\router                                                                                                  |          1 |         16 |          0 |          3 |         19 |
| server\service                                                                                                 |          3 |        146 |          0 |         26 |        172 |
| static                                                                                                         |          5 |        237 |         27 |         41 |        305 |
| static (Files)                                                                                                 |          1 |        199 |         27 |         38 |        264 |
| static\pages                                                                                                   |          2 |         23 |          0 |          2 |         25 |
| static\styles                                                                                                  |          2 |         15 |          0 |          1 |         16 |
| views                                                                                                          |          9 |         96 |          0 |          4 |        100 |
| views (Files)                                                                                                  |          3 |         35 |          0 |          3 |         38 |
| views\global                                                                                                   |          2 |         12 |          0 |          1 |         13 |
| views\partials                                                                                                 |          4 |         49 |          0 |          0 |         49 |
| views\partials (Files)                                                                                         |          3 |         38 |          0 |          0 |         38 |
| views\partials\lk_part                                                                                         |          1 |         11 |          0 |          0 |         11 |
+----------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+----------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| filename                                                                                                       | language   | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| c:\Users\rudom.PENETRATOR\OneDrive\Documents\html\work\sport-live\client\public\index.html                     | HTML       |         12 |          0 |          1 |         13 |
| c:\Users\rudom.PENETRATOR\OneDrive\Documents\html\work\sport-live\client\src\App.css                           | CSS        |         22 |          0 |          0 |         22 |
| c:\Users\rudom.PENETRATOR\OneDrive\Documents\html\work\sport-live\client\src\components\AppRouter.js           | JavaScript |         22 |          0 |          4 |         26 |
| c:\Users\rudom.PENETRATOR\OneDrive\Documents\html\work\sport-live\client\src\components\BrandBar.js            | JavaScript |         23 |          0 |          4 |         27 |
| c:\Users\rudom.PENETRATOR\OneDrive\Documents\html\work\sport-live\client\src\components\DeviceItem.js          | JavaScript |         25 |          0 |          3 |         28 |
| c:\Users\rudom.PENETRATOR\OneDrive\Documents\html\work\sport-live\client\src\components\DeviceList.js          | JavaScript |         16 |          0 |          4 |         20 |
| c:\Users\rudom.PENETRATOR\OneDrive\Documents\html\work\sport-live\client\src\components\NavBar.js              | JavaScript |         47 |          0 |          5 |         52 |
| c:\Users\rudom.PENETRATOR\OneDrive\Documents\html\work\sport-live\client\src\components\Pages.js               | JavaScript |         26 |          0 |          5 |         31 |
| c:\Users\rudom.PENETRATOR\OneDrive\Documents\html\work\sport-live\client\src\components\TypeBar.js             | JavaScript |         23 |          0 |          3 |         26 |
| c:\Users\rudom.PENETRATOR\OneDrive\Documents\html\work\sport-live\client\src\components\modals\CreateBrand.js  | JavaScript |         40 |          0 |          4 |         44 |
| c:\Users\rudom.PENETRATOR\OneDrive\Documents\html\work\sport-live\client\src\components\modals\CreateDevice.js | JavaScript |        138 |          0 |          8 |        146 |
| c:\Users\rudom.PENETRATOR\OneDrive\Documents\html\work\sport-live\client\src\components\modals\CreateType.js   | JavaScript |         40 |          0 |          5 |         45 |
| c:\Users\rudom.PENETRATOR\OneDrive\Documents\html\work\sport-live\client\src\http\deviceAPI.js                 | JavaScript |         32 |          0 |          8 |         40 |
| c:\Users\rudom.PENETRATOR\OneDrive\Documents\html\work\sport-live\client\src\http\index.js                     | JavaScript |         16 |          0 |          6 |         22 |
| c:\Users\rudom.PENETRATOR\OneDrive\Documents\html\work\sport-live\client\src\http\userAPI.js                   | JavaScript |         17 |          0 |          4 |         21 |
| c:\Users\rudom.PENETRATOR\OneDrive\Documents\html\work\sport-live\client\src\index.js                          | JavaScript |         15 |          0 |          4 |         19 |
| c:\Users\rudom.PENETRATOR\OneDrive\Documents\html\work\sport-live\client\src\models\IUser.ts                   | TypeScript |          5 |          0 |          1 |          6 |
| c:\Users\rudom.PENETRATOR\OneDrive\Documents\html\work\sport-live\client\src\models\response\AuthResponse.ts   | TypeScript |          6 |          0 |          2 |          8 |
| c:\Users\rudom.PENETRATOR\OneDrive\Documents\html\work\sport-live\client\src\pages\Admin.js                    | JavaScript |         39 |          0 |          4 |         43 |
| c:\Users\rudom.PENETRATOR\OneDrive\Documents\html\work\sport-live\client\src\pages\Auth.js                     | JavaScript |         76 |          0 |          7 |         83 |
| c:\Users\rudom.PENETRATOR\OneDrive\Documents\html\work\sport-live\client\src\pages\Basket.js                   | JavaScript |          9 |          0 |          3 |         12 |
| c:\Users\rudom.PENETRATOR\OneDrive\Documents\html\work\sport-live\client\src\pages\DevicePage.js               | JavaScript |         50 |          0 |          4 |         54 |
| c:\Users\rudom.PENETRATOR\OneDrive\Documents\html\work\sport-live\client\src\pages\Shop.js                     | JavaScript |         43 |          0 |          6 |         49 |
| c:\Users\rudom.PENETRATOR\OneDrive\Documents\html\work\sport-live\client\src\routes.js                         | JavaScript |         34 |          0 |          3 |         37 |
| c:\Users\rudom.PENETRATOR\OneDrive\Documents\html\work\sport-live\client\src\services\AuthService.js           | JavaScript |         14 |          0 |          6 |         20 |
