"filename", "language", "JavaScript", "CSS", "HTML", "comment", "blank", "total"
"c:\Users\rudom.PENETRATOR\OneDrive\Documents\html\work\sport-live\client\src\routes.js", "JavaScript", -34, 0, 0, 0, -3, -37
"c:\Users\rudom.PENETRATOR\OneDrive\Documents\html\work\sport-live\server\controllers\lk-controller.js", "JavaScript", 126, 0, 0, 0, 13, 139
"c:\Users\rudom.PENETRATOR\OneDrive\Documents\html\work\sport-live\server\index.js", "JavaScript", 3, 0, 0, 0, 0, 3
"c:\Users\rudom.PENETRATOR\OneDrive\Documents\html\work\sport-live\server\models\judge-model.js", "JavaScript", -1, 0, 0, 1, 0, 0
"c:\Users\rudom.PENETRATOR\OneDrive\Documents\html\work\sport-live\server\models\match-model.js", "JavaScript", -1, 0, 0, 1, 0, 0
"c:\Users\rudom.PENETRATOR\OneDrive\Documents\html\work\sport-live\server\models\player-model.js", "JavaScript", -1, 0, 0, 1, 0, 0
"c:\Users\rudom.PENETRATOR\OneDrive\Documents\html\work\sport-live\server\models\representativ-model.js", "JavaScript", -9, 0, 0, 0, -3, -12
"c:\Users\rudom.PENETRATOR\OneDrive\Documents\html\work\sport-live\server\models\representative-model.js", "JavaScript", 8, 0, 0, 1, 3, 12
"c:\Users\rudom.PENETRATOR\OneDrive\Documents\html\work\sport-live\server\models\season-model.js", "JavaScript", -1, 0, 0, 1, 0, 0
"c:\Users\rudom.PENETRATOR\OneDrive\Documents\html\work\sport-live\server\models\stadium-model.js", "JavaScript", -1, 0, 0, 1, 0, 0
"c:\Users\rudom.PENETRATOR\OneDrive\Documents\html\work\sport-live\server\models\team-model.js", "JavaScript", 2, 0, 0, 0, 0, 2
"c:\Users\rudom.PENETRATOR\OneDrive\Documents\html\work\sport-live\server\models\tournament-model.js", "JavaScript", -1, 0, 0, 1, 0, 0
"c:\Users\rudom.PENETRATOR\OneDrive\Documents\html\work\sport-live\server\models\transfer-model.js", "JavaScript", -1, 0, 0, 1, 0, 0
"c:\Users\rudom.PENETRATOR\OneDrive\Documents\html\work\sport-live\server\models\userD-model.js", "JavaScript", 8, 0, 0, 0, 3, 11
"c:\Users\rudom.PENETRATOR\OneDrive\Documents\html\work\sport-live\server\router\auth-router.js", "JavaScript", 16, 0, 0, 0, 3, 19
"c:\Users\rudom.PENETRATOR\OneDrive\Documents\html\work\sport-live\server\router\index.js", "JavaScript", -6, 0, 0, 0, -1, -7
"c:\Users\rudom.PENETRATOR\OneDrive\Documents\html\work\sport-live\server\router\lk-router.js", "JavaScript", 11, 0, 0, 0, 2, 13
"c:\Users\rudom.PENETRATOR\OneDrive\Documents\html\work\sport-live\server\service\user-service.js", "JavaScript", -1, 0, 0, 1, 0, 0
"c:\Users\rudom.PENETRATOR\OneDrive\Documents\html\work\sport-live\server\views\auth.ejs", "HTML", 0, 0, 7, 0, 1, 8
"c:\Users\rudom.PENETRATOR\OneDrive\Documents\html\work\sport-live\server\views\contact.ejs", "HTML", 0, 0, 21, 0, 2, 23
"c:\Users\rudom.PENETRATOR\OneDrive\Documents\html\work\sport-live\server\views\global\footer.ejs", "HTML", 0, 0, 2, 0, 0, 2
"c:\Users\rudom.PENETRATOR\OneDrive\Documents\html\work\sport-live\server\views\global\header.ejs", "HTML", 0, 0, 13, 0, 1, 14
"c:\Users\rudom.PENETRATOR\OneDrive\Documents\html\work\sport-live\server\views\lk.ejs", "HTML", 0, 0, 8, 0, 0, 8
"c:\Users\rudom.PENETRATOR\OneDrive\Documents\html\work\sport-live\server\views\partials\dashboard_nav.ejs", "HTML", 0, 0, 14, 0, 1, 15
"c:\Users\rudom.PENETRATOR\OneDrive\Documents\html\work\sport-live\server\views\partials\lk_main.ejs", "HTML", 0, 0, 2, 0, 1, 3
"c:\Users\rudom.PENETRATOR\OneDrive\Documents\html\work\sport-live\server\views\partials\lk_part\profile.ejs", "HTML", 0, 0, 14, 0, 1, 15
"c:\Users\rudom.PENETRATOR\OneDrive\Documents\html\work\sport-live\server\views\partials\lk_part\team.ejs", "HTML", 0, 0, 36, 0, 3, 39
"c:\Users\rudom.PENETRATOR\OneDrive\Documents\html\work\sport-live\server\views\partials\lk_part\team_create.ejs", "HTML", 0, 0, 12, 0, 2, 14
"c:\Users\rudom.PENETRATOR\OneDrive\Documents\html\work\sport-live\server\views\partials\loginForm.ejs", "HTML", 0, 0, 10, 0, 0, 10
"c:\Users\rudom.PENETRATOR\OneDrive\Documents\html\work\sport-live\server\views\partials\regForm.ejs", "HTML", 0, 0, 12, 0, 0, 12
"c:\Users\rudom.PENETRATOR\OneDrive\Documents\html\work\sport-live\static\pages\lk.js", "JavaScript", 48, 0, 0, 0, 2, 50
"c:\Users\rudom.PENETRATOR\OneDrive\Documents\html\work\sport-live\static\pages\login.js", "JavaScript", 1, 0, 0, 0, -1, 0
"c:\Users\rudom.PENETRATOR\OneDrive\Documents\html\work\sport-live\static\script.js", "JavaScript", 6, 0, 0, 0, 0, 6
"c:\Users\rudom.PENETRATOR\OneDrive\Documents\html\work\sport-live\static\styles\lk.css", "CSS", 0, 21, 0, 0, 2, 23
"c:\Users\rudom.PENETRATOR\OneDrive\Documents\html\work\sport-live\static\styles\style.css", "CSS", 0, 55, 0, 1, 6, 62
"c:\Users\rudom.PENETRATOR\OneDrive\Documents\html\work\sport-live\views\global\header.ejs", "HTML", 0, 0, 3, 0, 0, 3
"c:\Users\rudom.PENETRATOR\OneDrive\Documents\html\work\sport-live\views\lk.ejs", "HTML", 0, 0, 1, 0, 0, 1
"c:\Users\rudom.PENETRATOR\OneDrive\Documents\html\work\sport-live\views\partials\dashboard_nav.ejs", "HTML", 0, 0, -2, 0, 1, -1
"c:\Users\rudom.PENETRATOR\OneDrive\Documents\html\work\sport-live\views\partials\lk_main.ejs", "HTML", 0, 0, 2, 0, 1, 3
"c:\Users\rudom.PENETRATOR\OneDrive\Documents\html\work\sport-live\views\partials\lk_part\profile.ejs", "HTML", 0, 0, 3, 0, 1, 4
"c:\Users\rudom.PENETRATOR\OneDrive\Documents\html\work\sport-live\views\partials\lk_part\team.ejs", "HTML", 0, 0, 36, 0, 3, 39
"c:\Users\rudom.PENETRATOR\OneDrive\Documents\html\work\sport-live\views\partials\lk_part\team_create.ejs", "HTML", 0, 0, 12, 0, 2, 14
"Total", "-", 172, 76, 206, 10, 46, 510
