"filename", "language", "JSON", "CSS", "JavaScript", "HTML", "Properties", "comment", "blank", "total"
"c:\Users\rudom.PENETRATOR\OneDrive\Documents\html\work\sport-live\package-lock.json", "JSON", 6, 0, 0, 0, 0, 0, 1, 7
"c:\Users\rudom.PENETRATOR\OneDrive\Documents\html\work\sport-live\server\.env", "Properties", 0, 0, 0, 0, 10, 0, 1, 11
"c:\Users\rudom.PENETRATOR\OneDrive\Documents\html\work\sport-live\server\controllers\api\auth-controller.js", "JavaScript", 0, 0, 70, 0, 0, 1, 9, 80
"c:\Users\rudom.PENETRATOR\OneDrive\Documents\html\work\sport-live\server\controllers\api\index.js", "JavaScript", 0, 0, 8, 0, 0, 0, 2, 10
"c:\Users\rudom.PENETRATOR\OneDrive\Documents\html\work\sport-live\server\controllers\api\lk-controller.js", "JavaScript", 0, 0, 181, 0, 0, 1, 16, 198
"c:\Users\rudom.PENETRATOR\OneDrive\Documents\html\work\sport-live\server\controllers\api\match\index.js", "JavaScript", 0, 0, 68, 0, 0, 0, 5, 73
"c:\Users\rudom.PENETRATOR\OneDrive\Documents\html\work\sport-live\server\controllers\api\player\index.js", "JavaScript", 0, 0, 66, 0, 0, 0, 5, 71
"c:\Users\rudom.PENETRATOR\OneDrive\Documents\html\work\sport-live\server\controllers\api\team\index.js", "JavaScript", 0, 0, 66, 0, 0, 0, 5, 71
"c:\Users\rudom.PENETRATOR\OneDrive\Documents\html\work\sport-live\server\controllers\api\tournament\index.js", "JavaScript", 0, 0, 67, 0, 0, 2, 5, 74
"c:\Users\rudom.PENETRATOR\OneDrive\Documents\html\work\sport-live\server\controllers\index.js", "JavaScript", 0, 0, 16, 0, 0, 0, 2, 18
"c:\Users\rudom.PENETRATOR\OneDrive\Documents\html\work\sport-live\server\dtos\user-dto.js", "JavaScript", 0, 0, 10, 0, 0, 0, 2, 12
"c:\Users\rudom.PENETRATOR\OneDrive\Documents\html\work\sport-live\server\exceptions\api-error.js", "JavaScript", 0, 0, 18, 0, 0, 0, 3, 21
"c:\Users\rudom.PENETRATOR\OneDrive\Documents\html\work\sport-live\server\index.js", "JavaScript", 0, 0, 50, 0, 0, 19, 12, 81
"c:\Users\rudom.PENETRATOR\OneDrive\Documents\html\work\sport-live\server\middlewares\auth-middleware.js", "JavaScript", 0, 0, 20, 0, 0, 0, 6, 26
"c:\Users\rudom.PENETRATOR\OneDrive\Documents\html\work\sport-live\server\middlewares\checkAuth-middleware.js", "JavaScript", 0, 0, 27, 0, 0, 0, 2, 29
"c:\Users\rudom.PENETRATOR\OneDrive\Documents\html\work\sport-live\server\middlewares\error-middleware.js", "JavaScript", 0, 0, 8, 0, 0, 0, 3, 11
"c:\Users\rudom.PENETRATOR\OneDrive\Documents\html\work\sport-live\server\models\judge-model.js", "JavaScript", 0, 0, 4, 0, 0, 1, 3, 8
"c:\Users\rudom.PENETRATOR\OneDrive\Documents\html\work\sport-live\server\models\match-model.js", "JavaScript", 0, 0, 11, 0, 0, 0, 3, 14
"c:\Users\rudom.PENETRATOR\OneDrive\Documents\html\work\sport-live\server\models\player-model.js", "JavaScript", 0, 0, 9, 0, 0, 0, 3, 12
"c:\Users\rudom.PENETRATOR\OneDrive\Documents\html\work\sport-live\server\models\representative-model.js", "JavaScript", 0, 0, 9, 0, 0, 0, 3, 12
"c:\Users\rudom.PENETRATOR\OneDrive\Documents\html\work\sport-live\server\models\season-model.js", "JavaScript", 0, 0, 8, 0, 0, 1, 3, 12
"c:\Users\rudom.PENETRATOR\OneDrive\Documents\html\work\sport-live\server\models\stadium-model.js", "JavaScript", 0, 0, 8, 0, 0, 1, 3, 12
"c:\Users\rudom.PENETRATOR\OneDrive\Documents\html\work\sport-live\server\models\team-model.js", "JavaScript", 0, 0, 11, 0, 0, 0, 3, 14
"c:\Users\rudom.PENETRATOR\OneDrive\Documents\html\work\sport-live\server\models\token-model.js", "JavaScript", 0, 0, 6, 0, 0, 0, 3, 9
"c:\Users\rudom.PENETRATOR\OneDrive\Documents\html\work\sport-live\server\models\tournament-model.js", "JavaScript", 0, 0, 47, 0, 0, 0, 3, 50
"c:\Users\rudom.PENETRATOR\OneDrive\Documents\html\work\sport-live\server\models\transfer-model.js", "JavaScript", 0, 0, 8, 0, 0, 1, 3, 12
"c:\Users\rudom.PENETRATOR\OneDrive\Documents\html\work\sport-live\server\models\user-model.js", "JavaScript", 0, 0, 9, 0, 0, 0, 3, 12
